,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1.9818,0.2626,1.3083,-0.4428,0.2427,2.0696,1.0161,-0.5405,-0.1817,0.0479,0.6075,3.8828,-0.2855,1.0624,0.8421,1.7842,-1.0707,-1.0312,-2.8534,-0.8917
1,1.6454,-2.2445,-2.6956,0.4791,-0.4596,1.4249,-1.6975,-2.8904,-1.3356,-2.9191,-0.7869,-0.0693,-0.9046,-0.0815,-1.1443,-1.2419,-1.2697,-2.9841,-1.4459,-2.2912
2,-1.5508,0.1697,0.1139,-1.7823,-0.2663,0.7018,2.0624,0.0577,-0.9743,-0.5621,0.188,-0.1089,-1.1209,-1.3564,-2.7595,-1.9327,-0.2984,0.6232,-1.7211,-1.5738
3,1.633,-1.5018,-3.3774,-0.2804,-1.0541,-0.9962,-0.3953,-0.6376,-0.5424,-0.4264,-0.9288,-3.416,-2.174,-2.5949,-1.2416,-1.1548,-0.6988,0.4103,0.9039,0.2499
4,0.9043,-2.3025,-4.2009,-3.7335,-1.2857,-0.8642,-0.6442,-2.4748,-3.2769,-2.2222,-1.8745,-3.2843,-4.1199,-2.5905,-5.0491,-2.5823,-3.825,-3.1539,-3.5029,-2.9936
5,3.4784,-1.1886,-1.4702,0.0605,-2.1778,-3.5839,-2.762,-1.4603,-1.6527,-0.5841,-1.1398,-3.5426,-2.3659,-2.3236,-3.6134,-3.4778,-0.2738,-2.5302,-0.8374,-1.3173
6,-2.3163,2.7164,1.0817,0.4576,0.3911,0.6275,0.666,0.9599,1.5081,1.5441,-0.8105,2.0766,-1.1493,2.5511,0.6256,1.2397,1.4615,0.7762,-0.5261,1.2771
7,-2.4169,4.8469,3.7837,3.0828,2.7811,2.3408,3.7063,1.0865,3.1221,3.8614,1.3159,1.69,2.8811,1.7845,1.6237,-0.1977,4.9712,3.4201,1.9627,1.6657
8,0.4374,0.2845,0.7121,-0.4905,-1.5344,0.2465,-0.2674,1.1634,0.6991,-0.3268,2.3192,-0.2686,2.2154,-1.8785,2.6364,2.0748,0.5571,0.9387,1.6721,0.9214
9,2.7238,-2.9535,-3.2207,-3.9192,-2.9044,-3.7872,-1.2087,-2.0535,-2.2942,-3.0988,-0.6125,-2.2027,-0.0278,-3.5831,-2.4222,-0.849,-3.38,-1.9373,-2.5661,-0.8216
10,1.9256,-3.2739,-2.8649,-2.2753,0.245,-2.2755,-3.5187,-1.5003,-1.846,-2.5975,-2.451,-0.1759,-2.3505,0.181,-1.2953,0.9952,-3.1131,-3.5788,-1.4058,-0.8618
11,4.1554,-4.1217,-5.795,-5.3889,-4.2466,-3.1537,-3.1684,-7.08,-5.5541,-2.1642,-4.5149,-6.0977,-4.0024,-7.9788,-5.0827,-4.7423,-8.2031,-5.05,-6.7532,-4.2856
12,1.4753,-0.5478,-1.0101,-0.597,-2.9238,-1.4206,0.7926,-3.4442,-0.7556,-1.0403,-3.3571,-2.1243,-1.1738,-4.128,-0.5412,-4.2179,-1.2165,-0.9088,-1.6241,-2.3833
13,2.2742,-1.8024,-2.644,-3.4977,-4.5264,-2.2033,-1.6642,-4.0134,-2.5996,-1.3814,-3.2955,-1.5268,-2.4353,-1.7132,-1.9474,-4.2677,-2.8949,-3.4039,-4.3087,-2.5594
14,2.5742,-1.9435,-2.514,-2.3383,-3.0558,-1.8668,-2.229,-4.4255,-3.9507,-3.7061,-3.4344,0.2493,-3.67,-3.5421,-2.5291,-2.0431,-3.7598,-4.6235,-3.3444,-5.4877
15,-0.0842,2.0153,0.6899,2.5899,1.3357,1.1774,-1.2447,-0.9399,1.5126,3.1548,0.1418,1.5752,1.3711,1.4128,2.8894,1.9524,1.5973,1.564,2.0769,1.8889
16,-2.5483,3.6319,4.5022,3.1128,1.3284,2.7095,1.2598,3.9282,2.5285,2.8005,3.1766,3.8046,3.8134,3.9287,5.3584,3.5001,2.6289,3.9904,1.6902,4.5918
17,-1.6042,-1.8673,1.2531,1.501,2.0196,1.4965,0.596,1.999,-1.4622,1.3902,1.3285,-1.3473,-0.0263,1.0103,-3.2415,0.3835,-2.5359,-1.2198,-0.4812,-0.4604
18,-0.5183,0.7481,-0.9418,-1.4789,-1.0126,-3.3624,1.2489,-2.1237,-0.103,-2.6228,-3.3364,1.242,-1.3796,-1.0147,-1.11,-2.2341,0.801,0.6527,-0.7708,-0.7806
